form_a	form_b	oordeel	reden	plaatsen	eerste
يُؤَاخِذُكُم	يُّوَ۬اخِذُكُم	geen-farsh	hamza-ibdaal en idghaam-notatie	2	2:225
ءَاتَىٰهُ	اٰت۪يٰهُ	geen-farsh	alif madda + taqliel-notatie	1	2:258
أَؤُنَبِّئُكُم	اَوْ۟نَبِّئُكُم	geen-farsh	hamza-notatie	1	3:15
ٱلۡأَنۢبِيَآءَ	اَ۬لَانۢبِئَآءَ	geen-farsh	hamz van an-nabie- (usul van Naafi3)	1	3:112
وَٱلَّٰتِي	وَالتِے	onzeker	allaatie/allatie: Warsh laat de dolk-alif weg; lezing of spelling?	2	4:15
ٱلَّٰتِيٓ	اُ۬لتِےٓ	onzeker	idem	1	4:23
ٱلَّٰتِي	اُ۬لتِے	onzeker	idem	2	4:23
ٱلَّٰتِي	اِ۬لتِے	onzeker	idem	3	4:127
ٱلَّذِينَ	لِلذِينَ	geen-farsh	uitlijningsartefact: herhaalde frase	8	5:44
وَٱلۡأُذُنَ	وَالُاذْنَ	geen-farsh	naql-notatie	1	5:45
بِٱلۡأُذُنِ	بِالُاذْنِ	geen-farsh	naql-notatie	1	5:45
وَمَحۡيَايَ	وَمَحْي۪آےْ	geen-farsh	yaa al-idaafa: Warsh en Qaaloon sluiten de yaa met sukoen waar de andere zes hem met fatha openen -- usul, geen farsh	1	6:162
أُولَىٰهُمۡ	ا۟ول۪يٰهُمْ	geen-farsh	alif madda + taqliel-notatie	1	7:39
وَلِـِّۧيَ	وَلِيِّيَ	geen-farsh	yaa-notatie	1	7:196
أَئِمَّةَ	أَي۪مَّةَ	geen-farsh	tashiel van de hamza	1	9:12
ءَالَ	ا۟لَ	geen-farsh	hamza-notatie aan het woordbegin	2	15:61
يُؤَخِّرُهُمۡ	يُّوَ۬خِّرُهُمُۥٓ	geen-farsh	hamza, idghaam en sila samen	2	16:61
يَهۡدِيَنِ	يَّهْدِيَنِۦ	geen-farsh	yaa zaa-ida met idghaam	1	18:24
ءَانَآيِٕ	اٰنَآءِےْ	geen-farsh	hamza-zetel	1	20:130
ءَالِهَةٗ	اَ۟لِهَةٗ	geen-farsh	hamza-notatie	1	21:99
لۡيَقۡضُواْ	لِيَقْضُواْ	geen-farsh	hulpklinker bij wasl	1	22:29
ءَايَةٗ	اَ۟يَةٗ	geen-farsh	hamza-notatie	1	26:4
يُكَذِّبُونِ	يُّكَذِّبُونِۦۖ	geen-farsh	yaa zaa-ida met idghaam	1	28:34
أُنزِلَتۡ	ا۟نزِلَتِ	geen-farsh	hulpklinker en notatie	1	28:87
بِلِقَآيِٕ	بِلِقَآءِ	geen-farsh	hamza-zetel	1	30:8
وَلِقَآيِٕ	وَلِقَآءِ	geen-farsh	hamza-zetel	1	30:16
ٱلَّٰتِيٓ	اَ۬لتِےٓ	onzeker	idem	1	33:50
ٱلَّٰتِي	اَ۬لتِے	onzeker	idem	1	33:50
وَرَآيِٕ	وَّرَآءِےْ	geen-farsh	hamza-zetel	1	42:51
جَدَلَۢاۚ	جَدَلاَۖ	geen-farsh	tanwien-notatie	1	43:58
يَخۡشَىٰهَا	يَّخْشَيٰهَاۖ	geen-farsh	idghaam en maqsoera-notatie	1	79:45
لِنَبِيّٖ	لِنَبِےٓءٖ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	1	2:246
ٱلنَّبِيُّ	اَ۬لنَّبِےٓءُ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	16	3:68
وَٱلنُّبُوَّةَ	وَالنُّبُوٓءَةَ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	2	3:79
نَّبِيّٖ	نَّبِےٓءٖ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	2	3:146
لِنَبِيٍّ	لِنَبِےٓءٍ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	2	3:161
وَٱلنَّبِيِّ	وَالنَّبِےٓءِ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	1	5:81
وَٱلنُّبُوَّةَۚ	وَالنُّبُوٓءَةَۖ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	1	6:89
نَبِيٍّ	نَبِےٓءٍ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	3	6:112
نَّبِيٍّ	نَّبِےٓءٍ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	2	7:94
ٱلنَّبِيَّ	اَ۬لنَّبِےٓءَ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	2	7:157
ٱلنَّبِيِّ	اِ۬لنَّبِےٓءِ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	2	7:158
لِلنَّبِيِّ	لِلنَّبِےٓءِ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	2	9:113
ٱلنَّبِيِّ	اَ۬لنَّبِےٓءِ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	5	9:117
سِيٓءَ	س۬ےٓءَ	geen-farsh	isjmaam/taqliel: het teken staat waar Hafs de kasra schrijft	2	11:77
أَرَىٰنِيٓ	أَر۪يٰنِيَ	geen-farsh	imaala-teken plus yaa al-idaafa geopend	2	12:36
إِنِّيٓ	اِ۪نِّيَ	geen-farsh	yaa al-idaafa geopend; het wasl-teken op een qat3-hamza	1	27:29
ٱلنُّبُوَّةَ	اِ۬لنُّبُوٓءَةَ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	1	29:27
ٱلنَّبِيُّ	اِ۬لنَّبِےٓءُ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	1	33:6
