surah	ayah	word	segment	form_bw	form_ar	tag	segment_type	pos	lemma	lemma_ar	root	root_ar	aspect	verb_form	voice	derivation	person	gender	number	case	mood	state	prefix	suffix_pron	special
1	1	1	1	bi	بِ	P	PREFIX																bi+		
1	1	1	2	somi	سْمِ	N	STEM	N	{som	ٱسْم	smw	سمو						M		GEN					
1	1	2	1	{ll~ahi	ٱللَّهِ	PN	STEM	PN	{ll~ah	ٱللَّه	Alh	اله								GEN					
1	1	3	1	{l	ٱل	DET	PREFIX																Al+		
1	1	3	2	r~aHoma`ni	رَّحْمَٰنِ	ADJ	STEM	ADJ	r~aHoma`n	رَّحْمَٰن	rHm	رحم						M	S	GEN					
1	1	4	1	{l	ٱل	DET	PREFIX																Al+		
1	1	4	2	r~aHiymi	رَّحِيمِ	ADJ	STEM	ADJ	r~aHiym	رَّحِيم	rHm	رحم						M	S	GEN					
1	2	1	1	{lo	ٱلْ	DET	PREFIX																Al+		
1	2	1	2	Hamodu	حَمْدُ	N	STEM	N	Hamod	حَمْد	Hmd	حمد						M		NOM					
1	2	2	1	li	لِ	P	PREFIX																l:P+		
1	2	2	2	l~ahi	لَّهِ	PN	STEM	PN	{ll~ah	ٱللَّه	Alh	اله								GEN					
1	2	3	1	rab~i	رَبِّ	N	STEM	N	rab~	رَبّ	rbb	ربب						M		GEN					
1	2	4	1	{lo	ٱلْ	DET	PREFIX																Al+		
1	2	4	2	Ea`lamiyna	عَٰلَمِينَ	N	STEM	N	Ea`lamiyn	عَٰلَمِين	Elm	علم						M	P	GEN					
1	3	1	1	{l	ٱل	DET	PREFIX																Al+		
1	3	1	2	r~aHoma`ni	رَّحْمَٰنِ	ADJ	STEM	ADJ	r~aHoma`n	رَّحْمَٰن	rHm	رحم						M	S	GEN					
1	3	2	1	{l	ٱل	DET	PREFIX																Al+		
1	3	2	2	r~aHiymi	رَّحِيمِ	ADJ	STEM	ADJ	r~aHiym	رَّحِيم	rHm	رحم						M	S	GEN					
1	4	1	1	ma`liki	مَٰلِكِ	N	STEM	N	ma`lik	مَٰلِك	mlk	ملك			ACT	PCPL		M		GEN					
1	4	2	1	yawomi	يَوْمِ	N	STEM	N	yawom	يَوْم	ywm	يوم						M		GEN					
1	4	3	1	{l	ٱل	DET	PREFIX																Al+		
1	4	3	2	d~iyni	دِّينِ	N	STEM	N	diyn	دِين	dyn	دين						M		GEN					
1	5	1	1	<iy~aAka	إِيَّاكَ	PRON	STEM	PRON	<iy~aA	إِيَّا							2	M	S						
1	5	2	1	naEobudu	نَعْبُدُ	V	STEM	V	Eabada	عَبَدَ	Ebd	عبد	IMPF				1		P						
1	5	3	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
1	5	3	2	<iy~aAka	إِيَّاكَ	PRON	STEM	PRON	<iy~aA	إِيَّا							2	M	S						
1	5	4	1	nasotaEiynu	نَسْتَعِينُ	V	STEM	V	{sotaEiynu	ٱسْتَعِينُ	Ewn	عون	IMPF	X			1		P						
1	6	1	1	{hodi	ٱهْدِ	V	STEM	V	hadaY	هَدَى	hdy	هدي	IMPV				2	M	S						
1	6	1	2	naA	نَا	PRON	SUFFIX																	1P	
1	6	2	1	{l	ٱل	DET	PREFIX																Al+		
1	6	2	2	S~ira`Ta	صِّرَٰطَ	N	STEM	N	Sira`T	صِرَٰط	SrT	صرط						M		ACC					
1	6	3	1	{lo	ٱلْ	DET	PREFIX																Al+		
1	6	3	2	musotaqiyma	مُسْتَقِيمَ	ADJ	STEM	ADJ	m~usotaqiym	مُّسْتَقِيم	qwm	قوم		X	ACT	PCPL		M		ACC					
1	7	1	1	Sira`Ta	صِرَٰطَ	N	STEM	N	Sira`T	صِرَٰط	SrT	صرط						M		ACC					
1	7	2	1	{l~a*iyna	ٱلَّذِينَ	REL	STEM	REL	{l~a*iY	ٱلَّذِى								M	P						
1	7	3	1	>anoEamo	أَنْعَمْ	V	STEM	V	>anoEama	أَنْعَمَ	nEm	نعم	PERF	IV			2	M	S						
1	7	3	2	ta	تَ	PRON	SUFFIX																	2MS	
1	7	4	1	Ealayo	عَلَيْ	P	STEM	P	EalaY`	عَلَىٰ															
1	7	4	2	himo	هِمْ	PRON	SUFFIX																	3MP	
1	7	5	1	gayori	غَيْرِ	N	STEM	N	gayor	غَيْر	gyr	غير						M		GEN					
1	7	6	1	{lo	ٱلْ	DET	PREFIX																Al+		
1	7	6	2	magoDuwbi	مَغْضُوبِ	N	STEM	N	magoDuwb	مَغْضُوب	gDb	غضب			PASS	PCPL		M		GEN					
1	7	7	1	Ealayo	عَلَيْ	P	STEM	P	EalaY`	عَلَىٰ															
1	7	7	2	himo	هِمْ	PRON	SUFFIX																	3MP	
1	7	8	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
1	7	8	2	laA	لَا	NEG	STEM	NEG	laA	لَا															
1	7	9	1	{l	ٱل	DET	PREFIX																Al+		
1	7	9	2	D~aA^l~iyna	ضَّآلِّينَ	N	STEM	N	DaA^l~	ضَآلّ	Dll	ضلل			ACT	PCPL		M	P	GEN					
2	1	1	1	Al^m^	الٓمٓ	INL	STEM	INL																	
2	2	1	1	*a`lika	ذَٰلِكَ	DEM	STEM	DEM	*a`lik	ذَٰلِك								M	S						
2	2	2	1	{lo	ٱلْ	DET	PREFIX																Al+		
2	2	2	2	kita`bu	كِتَٰبُ	N	STEM	N	kita`b	كِتَٰب	ktb	كتب						M		NOM					
2	2	3	1	laA	لَا	NEG	STEM	NEG	laA	لَا															<in~
2	2	4	1	rayoba	رَيْبَ	N	STEM	N	rayob	رَيْب	ryb	ريب						M		ACC					
2	2	5	1	fiy	فِي	P	STEM	P	fiY	فِى															
2	2	5	2	hi	هِ	PRON	SUFFIX																	3MS	
2	2	6	1	hudFY	هُدًى	N	STEM	N	hudFY	هُدًى	hdy	هدي						M		NOM		INDEF			
2	2	7	1	l~i	لِّ	P	PREFIX																l:P+		
2	2	7	2	lo	لْ	DET	PREFIX																Al+		
2	2	7	3	mut~aqiyna	مُتَّقِينَ	N	STEM	N	mut~aqiyn	مُتَّقِين	wqy	وقي		VIII	ACT	PCPL		M	P	GEN					
2	3	1	1	{l~a*iyna	ٱلَّذِينَ	REL	STEM	REL	{l~a*iY	ٱلَّذِى								M	P						
2	3	2	1	yu&ominu	يُؤْمِنُ	V	STEM	V	'aAmana	ءَامَنَ	Amn	امن	IMPF	IV			3	M	P						
2	3	2	2	wna	ونَ	PRON	SUFFIX																	3MP	
2	3	3	1	bi	بِ	P	PREFIX																bi+		
2	3	3	2	{lo	ٱلْ	DET	PREFIX																Al+		
2	3	3	3	gayobi	غَيْبِ	N	STEM	N	gayob	غَيْب	gyb	غيب						M		GEN					
2	3	4	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	3	4	2	yuqiymu	يُقِيمُ	V	STEM	V	>aqaAma	أَقَامَ	qwm	قوم	IMPF	IV			3	M	P						
2	3	4	3	wna	ونَ	PRON	SUFFIX																	3MP	
